2018-04-07 11:13:50.541594, 29.88, 4.18
2018-04-07 12:13:55.842524, 34.01, 4.18
2018-04-07 13:14:01.898641, 25.48, 4.18
2018-04-07 14:14:07.806662, 27.36, 4.18
2018-04-07 15:14:14.069885, 24.58, 4.15
2018-04-07 16:14:19.501670, 31.49, 4.18
2018-04-07 18:40:48.075612, 22.38, 4.18
2018-04-07 19:40:58.159084, 11.6, 3.97
2018-04-07 20:41:06.832012, 15.18, 3.71
2018-04-07 21:41:14.608817, 17.5, 3.77
2018-04-07 22:41:22.840570, 16.22, 3.79
2018-04-07 23:41:34.068341, 9.97, 4.06
2018-04-08 00:41:42.923001, 13.93, 3.99
2018-04-08 01:41:48.789305, 27.65, 4.18
2018-04-08 02:41:59.010115, 11.26, 4.18
2018-04-08 03:42:06.291947, 23.82, 3.0
2018-04-08 04:42:12.748452, 23.05, 4.17
2018-04-08 05:42:19.392691, 21.93, 4.17
2018-04-08 06:42:26.101766, 21.2, 4.16
2018-04-08 07:42:32.188816, 25.49, 4.17
2018-04-08 08:42:38.209720, 26.3, 4.18
2018-04-08 09:42:45.050308, 20.9, 4.18
2018-04-08 10:42:51.872901, 20.91, 4.18
2018-04-08 11:42:59.719183, 26.31, 2.37
2018-04-08 12:43:06.766448, 19.74, 4.18
2018-04-08 13:43:12.556392, 28.33, 4.18
2018-04-08 14:43:20.309162, 17.83, 3.83
2018-04-08 15:43:29.341569, 13.57, 3.94
2018-04-08 16:43:36.358431, 21.01, 3.85
2018-04-08 17:43:43.350900, 20.31, 4.0
2018-04-08 18:43:49.866382, 24.21, 3.84
2018-04-08 19:43:57.629754, 17.2, 4.07
2018-04-08 20:44:12.760271, 6.92, 3.77
2018-04-08 21:44:20.728170, 16.87, 3.9
2018-04-08 22:44:30.274449, 12.58, 4.0
2018-04-08 23:44:45.519751, 6.77, 3.92
2018-04-09 00:44:59.640725, 7.5, 3.95
2018-04-09 01:45:10.849236, 10.13, 3.97
2018-04-09 02:45:17.118966, 24.4, 4.17
2018-04-09 03:45:23.020162, 27.35, 4.18
2018-04-09 04:45:28.832567, 28.14, 4.18
2018-04-09 05:45:34.844833, 25.57, 4.19
2018-04-09 06:45:41.151558, 23.5, 4.18
2018-04-09 07:45:48.005689, 20.85, 4.17
2018-04-09 08:45:53.431974, 31.26, 4.16
2018-04-09 09:45:58.688093, 35.46, 4.09
